"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 03 23:44:47 MSK 2021","Fri Sep 03 23:44:53 MSK 2021","6136","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","zeroMonth","zeroMonth()",""
"passed","Fri Sep 03 23:44:31 MSK 2021","Fri Sep 03 23:44:40 MSK 2021","9065","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateMonth","validateMonth()",""
"passed","Fri Sep 03 23:44:20 MSK 2021","Fri Sep 03 23:44:21 MSK 2021","1599","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","wrongSymbolsCardNumber","wrongSymbolsCardNumber()",""
"failed","Fri Sep 03 23:44:05 MSK 2021","Fri Sep 03 23:44:12 MSK 2021","6992","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateCardNumber","validateCardNumber()",""
"passed","Fri Sep 03 23:44:24 MSK 2021","Fri Sep 03 23:44:26 MSK 2021","1502","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","wrongSymbolsMonth","wrongSymbolsMonth()",""
"failed","Fri Sep 03 23:45:11 MSK 2021","Fri Sep 03 23:45:17 MSK 2021","6327","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateCode","validateCode()",""
"passed","Fri Sep 03 23:44:21 MSK 2021","Fri Sep 03 23:44:22 MSK 2021","1039","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","emptyForm","emptyForm()",""
"failed","Fri Sep 03 23:44:53 MSK 2021","Fri Sep 03 23:45:11 MSK 2021","17182","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","declinedDebitBuy","declinedDebitBuy()",""
"passed","Fri Sep 03 23:45:17 MSK 2021","Fri Sep 03 23:45:26 MSK 2021","8820","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateYear","validateYear()",""
"failed","Fri Sep 03 23:44:26 MSK 2021","Fri Sep 03 23:44:31 MSK 2021","5692","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","wrongSymbolsOwner","wrongSymbolsOwner()",""
"failed","Fri Sep 03 23:44:12 MSK 2021","Fri Sep 03 23:44:20 MSK 2021","7280","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateCodeWithBugs","validateCodeWithBugs()",""
"failed","Fri Sep 03 23:44:40 MSK 2021","Fri Sep 03 23:44:47 MSK 2021","6820","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","validateOwner","validateOwner()",""
"passed","Fri Sep 03 23:44:22 MSK 2021","Fri Sep 03 23:44:24 MSK 2021","1777","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","wrongSymbolsYear","wrongSymbolsYear()",""
"passed","Fri Sep 03 23:43:32 MSK 2021","Fri Sep 03 23:43:55 MSK 2021","22501","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","successfulCreditBuy","successfulCreditBuy()",""
"failed","Fri Sep 03 23:45:26 MSK 2021","Fri Sep 03 23:45:43 MSK 2021","16806","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","declinedCreditBuy","declinedCreditBuy()",""
"passed","Fri Sep 03 23:43:55 MSK 2021","Fri Sep 03 23:44:05 MSK 2021","10063","","ru.netology.travel.AppTest","","ru.netology.travel.AppTest","successfulDebitBuy","successfulDebitBuy()",""
